0.78374,0.28559,-0.25681,0.98867,1,0.73947,0.81979,0.71429,1,0,-1,0.33333,0.5901,0.30458,0.31046,0.090034,-0.54028,0.10784,0.44018,-0.071466,-0.045552,-0.13096,-0.31388,0.12712,0.20057,-0.11999,-0.020134,-0.08485,0.73303,0.67786,0.64043,0.15093,0.1289,0.18902,0.047014,0.53539,0.056838,0.10574,0.016142,0.10437,0.74944,0.96745,-0.26823,0.27975,0.76817,0.94435,-0.3687,0.38224,0.95258,0.068407,-0.22861,-0.23267,0.093286,0.25616,0.63885,0.42492,0.32818,0.46067,0.43498,0.5759,0.41187,0.40747,0.44412,0.43707,0.62123,0.80621,0.52583,0.55715,0.95966,0.71947,2.6947e-017,-0.57146,0.20648,0,-0.10249,5.6875e-017,0.068427,-0.16267,0,0.59913,0.59655,0.66124,0.53465,0.59273,0.56297,0.23221,0.16156,-0.35779,-0.014859,-0.34696,-0.24908,-0.14018,0.39098,0.38049,0.36217,0
0.87019,0.11379,-0.018028,0.78446,1,0.89289,1,1,1,0,-0.79579,0,0.6235,0.15207,0.28035,0.87996,-0.3443,-0.67573,0.59057,-0.21079,-0.94323,-0.16802,-0.14528,-0.77805,0.86476,-0.23765,-0.92096,-0.3234,0.8658,0.81309,0.27802,0.49325,-0.3135,0.69322,-0.30806,0.25435,-0.25686,0.49535,-0.1817,0.28022,0.85958,0.74541,-0.018284,0.10823,0.82823,0.48879,-0.016884,0.099346,0.68994,0.00027715,-0.0052569,-0.01491,0.012175,0.093163,0.64749,0.72575,0.61813,0.50902,0.25513,0.49705,0.85571,0.93358,0.59695,0.31184,0.65221,0.88427,0.36302,0.52247,0.81487,0.87868,-0.94167,0.5996,-0.15946,-1,-0.071911,0,0.1874,7.8971e-017,0,-0.74751,0.71565,0.55246,0.46391,0.68475,0.68302,0.13007,0.22002,-0.68032,-1,-0.69951,-0.0051341,-0.20927,0.67781,0.83111,0.69862,0
0.83493,0.29034,-0.073346,0.94963,1,0.75789,0.50863,1,1,0,-0.79968,0,0.61309,0.33588,0.12139,0.41224,-0.5623,0.024808,0.44727,-0.16843,-0.21481,-0.41236,-0.34966,0.018638,0.44451,-0.18569,-0.21335,-0.35747,0.82606,0.77042,0.2381,0.28705,0.26513,-0.13195,-0.44669,0.69923,0.16433,-0.1069,-0.13225,0.40223,0.84921,0.93437,-0.077029,0.28597,0.82285,0.77739,-0.09025,0.33304,0.86972,0.0049789,-0.059228,-0.063166,0.086029,0.24754,0.64692,0.59777,0.47929,0.37575,0.37107,0.50489,0.6494,0.66697,0.40601,0.41788,0.61042,0.85272,0.55101,0.34474,0.93986,0.8211,7.2494e-016,-2.681e-017,-0.029897,0.26323,0.15244,0,-1.0736e-017,-0.11058,0,-0.0015878,0.66348,0.72084,0.51689,0.65226,0.63129,0.32443,0.29441,-0.59813,-0.51551,-0.59571,-0.37874,-0.21976,0.59778,0.60554,0.59707,0
0.64052,0.30703,-0.1218,0.75837,1,0.75079,1,0.71429,1,0,-0.62421,0,0.39698,0.3652,0.15458,0.45154,-0.47363,-0.10415,0.029422,0.13104,-0.88415,0.13398,-0.24713,-0.071057,0.024625,0.17,-0.9583,0.13717,0.65225,0.61555,0.041246,0.25507,0.078721,-0.589,0.012963,0.44026,0.03701,-0.46902,0.0040826,0.24985,0.67506,0.75122,-0.12878,0.30445,0.63552,0.63213,-0.15261,0.3586,0.67937,0.017507,-0.13262,-0.10261,0.12266,0.25604,0.48544,0.53725,0.59818,0.41532,0.48561,0.56413,0.4577,0.6528,0.35193,0.42887,0.53487,0.65929,0.57512,0.39033,0.76332,0.65864,0.64985,6.0057e-018,0.11478,-1.3748e-016,0.082787,-0.15753,-1.6831e-017,-0.07148,-3.1013e-016,0.15786,0.51857,0.61404,0.44079,0.51263,0.49536,0.20593,0.28242,-0.31369,-0.30971,-0.28614,-0.24966,-0.21207,0.33589,0.49154,0.29832,0
0.68097,0.2404,-0.12041,0.86397,0.92586,0.77032,0.599,0.71429,1,0,-1,0,0.44939,0.26996,0.14438,0.44678,-0.44728,-0.029944,0.32702,-0.38275,-0.48471,-0.25332,-0.21348,-0.021005,0.28967,-0.41258,-0.4493,-0.24932,0.7301,0.72489,0.20656,0.19699,-0.41621,0.19462,0.10842,0.0043893,-0.18297,0.1171,0.029,0.0021775,0.74856,0.84781,-0.12612,0.23615,0.66933,0.72609,-0.15211,0.28309,0.72823,0.015142,-0.090848,-0.09544,0.066551,0.18863,0.4856,0.52549,0.51823,0.34899,0.40015,0.47536,0.50588,0.63905,0.33417,0.39933,0.50929,0.70102,0.49174,0.37732,0.86137,0.7224,2.6764e-017,-6.7871e-018,-0.26399,0.58309,-0.18928,0,1.9023e-017,-0.067031,0,-0.029243,0.58052,0.62626,0.49096,0.57983,0.55928,0.28737,0.28106,-0.43996,-0.6301,-0.42935,-0.37739,-0.2087,0.44329,0.53013,0.43819,0
0.74948,0.095218,-0.043643,0.87794,1,0.81042,0.613,0.71429,1,0,-0.83958,0,0.46646,0.1248,0.13256,0.38434,-0.26405,0.084338,0.049138,-0.11735,0.43003,-0.47808,-0.087305,0.057757,0.041129,-0.082417,0.25138,-0.41818,0.79141,0.83243,0.22458,0.46552,0.30328,0.6593,-0.77372,0.52881,0.2088,0.41462,-0.30486,0.37404,0.79739,0.84663,-0.044922,0.091918,0.72393,0.67973,-0.050789,0.1033,0.73837,0.0018033,-0.011824,-0.034515,0.0094656,0.074549,0.53326,0.7195,0.52497,0.43929,0.28008,0.48725,0.76406,0.7141,0.46399,0.30833,0.57584,0.76209,0.32835,0.35959,0.87079,0.80905,-0.75381,1.4975e-017,-0.16527,-0.64326,-0.020563,-0.0033918,-4.1976e-017,0.03034,0,-0.1644,0.64014,0.48264,0.47604,0.63333,0.61598,0.24072,0.22355,-0.60244,-0.73673,-0.61161,-0.19622,-0.213,0.5991,0.63574,0.61109,0
0.79748,0.017481,-0.097149,0.7864,1,0.35653,0.82411,0.71429,1,0,-0.65789,0,0.52218,0.011286,0.15225,0.31985,-0.18728,0.068123,0.097136,-0.4124,0.18158,-0.43296,-0.019701,0.052898,0.078476,-0.093338,0.029118,-0.37024,0.71801,0.79829,0.26838,0.46766,0.40398,0.15218,-0.18133,0.81074,0.29496,0.028845,-0.076743,0.52435,0.73257,0.76793,-0.10126,0.017088,0.78003,0.60872,-0.11303,0.018961,0.78549,0.0099737,-0.0053933,-0.091248,0.0003561,0.016255,0.6739,0.96346,0.48257,0.45276,0.14056,0.62615,0.91661,0.58809,0.42843,0.13863,0.66295,0.81023,0.098156,0.38654,0.78075,0.74411,0.43601,-2.096e-018,0.060031,0.34574,0.65292,0.0020251,-1.4452e-016,-2.0422e-015,0,0.017646,0.58872,0.14374,0.47449,0.56738,0.55247,0.18396,0.20582,-0.50065,-0.52651,-0.60396,-0.11083,-0.21172,0.49963,0.51499,0.60085,0
0.80229,0.1863,-0.16059,0.9593,1,0.63263,1,0.85714,1,0,-1,0,0.65389,0.13778,0.30104,0.93851,-0.51515,-0.24032,0.11246,-0.21187,-0.032217,0.013369,-0.21189,-0.29364,0.17416,-0.2356,-0.030921,0.027537,0.83531,0.73219,0.18049,0.33567,-0.26477,0.38694,0.04336,0.52994,-0.18327,0.2171,0.021862,0.4974,0.84503,0.92884,-0.16596,0.18058,0.77808,0.77202,-0.19425,0.21009,0.82158,0.023227,-0.080978,-0.12933,0.034472,0.14853,0.5813,0.53799,0.63581,0.64289,0.24265,0.5055,0.60057,0.90919,0.71383,0.2808,0.62802,0.82928,0.35294,0.5443,0.97694,0.83477,-0.43957,0.21118,-0.086342,-0.8115,-0.073347,0.06745,0.048871,-0.043859,0,-0.23894,0.67482,0.64011,0.57797,0.66888,0.64777,0.33973,0.31718,-0.68308,-0.89427,-0.54827,-0.36913,-0.30025,0.67755,0.76994,0.55336,0
0.73404,0.3099,-0.19201,0.96847,1,0.60053,0.377,1,1,0,-0.93205,0,0.55907,0.30312,0.14795,0.61908,-0.54778,-0.096701,-0.37711,-0.40225,-0.1877,0.28084,-0.30901,-0.076592,-0.43857,-0.46511,-0.21702,0.32936,0.82184,0.72147,0.16527,0.27048,-0.20931,-0.070274,0.43038,0.79635,-0.12026,-0.052498,0.13655,0.54493,0.85182,0.96074,-0.20331,0.30775,0.72937,0.81938,-0.24418,0.3674,0.79025,0.03458,-0.16772,-0.14733,0.099327,0.23541,0.50673,0.45048,0.64451,0.25589,0.34679,0.46281,0.48291,0.88501,0.27283,0.38537,0.55214,0.76017,0.52772,0.38546,0.96861,0.81543,-0.18536,-3.7792e-018,0.05391,1.1535e-016,-0.099784,0.22235,1.0593e-017,-0.080376,3.9038e-016,-0.040225,0.64318,0.72741,0.56804,0.64617,0.62338,0.41197,0.2762,-0.30743,-0.76745,-0.43319,-0.56842,-0.24044,0.35799,0.76519,0.44552,0
0.77044,0.39851,-0.18639,0.98163,1,0.60116,0.42879,0.85714,1,0,-0.70168,0,0.72239,0.36991,0.12456,0.43285,-0.60299,0.043266,-0.036021,0.23149,-0.36559,-0.20211,-0.42714,0.035743,-0.039819,0.27131,-0.39046,-0.18187,0.81854,0.71764,0.82682,0.27339,0.19261,-0.37988,0.027792,0.78952,0.12646,-0.31518,0.0081347,0.45417,0.84979,0.97539,-0.19768,0.39639,0.7668,0.84658,-0.24161,0.48158,0.84548,0.032768,-0.21054,-0.15096,0.16518,0.31953,0.5614,0.4284,0.53156,0.22807,0.38082,0.53087,0.45664,0.7258,0.2418,0.4208,0.62975,0.81017,0.59094,0.35433,0.97113,0.81271,0.54563,-1.5031e-017,-0.15071,0,0.059243,-0.0015132,0,-0.081846,-1.9409e-016,0.10799,0.64491,0.77576,0.56341,0.64399,0.61995,0.38782,0.48245,-0.31202,-0.32316,-0.26948,-0.45698,-0.33028,0.35067,0.60338,0.29158,0
0.78587,0.43937,-0.16506,1,1,0.74426,0.38395,1,1,0,-0.49247,0,0.72968,0.48607,0.077135,0.65713,-0.59405,-0.036512,0.091749,0.16279,-0.41817,-0.2204,-0.48481,-0.023856,0.12559,0.17211,-0.6308,-0.19229,0.72373,0.70613,0.75945,0.23604,0.11724,-0.44686,-0.18955,0.5638,0.071887,-0.39491,-0.040567,0.37131,0.75617,1,-0.17618,0.43983,0.78716,1,-0.24811,0.61566,1,0.029252,-0.23399,-0.15522,0.22854,0.40901,0.66486,0.47508,0.80109,0.20924,0.52769,0.56804,0.44488,0.96092,0.19489,0.51225,0.59199,0.82394,0.67483,0.28011,1,0.72132,-7.81e-017,-1.1553e-016,0.041317,-5.0375e-017,0.069249,0,-9.2517e-018,-0.045138,3.4094e-016,-0.012733,0.57957,0.72223,0.49538,0.57574,0.54495,0.92157,0.32739,-0.13647,-0.47171,-0.27391,-0.93047,-0.22066,0.24042,0.64917,0.29013,0
